No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,JLCPCB Stock,JLCPCB Price, Link
1,8,1uF,"C3,C4,C5,C6,C7,C8,C10,C12",C0603,1uF,,,,,,
2,3,100nF,"C9,C11,C13",C0603,100nF,,,,,,
3,4,5.1k,"R1,R2,R3,R4",R0603,5.1k,,,,,,
4,1,SL2.1s,U1,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,SL2.1s,CoreChips(和芯润德),C2684433,LCSC,14997,0.0374,jlcpcb.com/partdetail/CoreChips-SL21s/C2684433
5,2,TYPE-C 16PIN 2MD(073),"USB1,USB5",USB-C-SMD_TYPE-C-16PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,LCSC,1108047,0.011,https://www.lcsc.com/product-detail/C2765186.html
6,3,10.0 QHHTZB6.3,"USB2,USB3,USB4",USB-A-TH_10.0QHHTZB6.3,,10.0 QHHTZB6.3,SHOU HAN(首韩),C668591,LCSC,40687,0.0099,https://www.lcsc.com/product-detail/C668591.html
